Date,Close,Open,High,Low,Change
June 2017,1.1426,1.1243,1.1448,1.112,1.63
July 2017,1.1842,1.142,1.1847,1.1313,3.64
August 2017,1.191,1.1842,1.2071,1.1663,0.57
September 2017,1.1814,1.1911,1.2094,1.1717,-0.81
October 2017,1.1646,1.1818,1.1882,1.1575,-1.42
November 2017,1.1904,1.1646,1.1962,1.1554,2.22
December 2017,1.1998,1.1904,1.203,1.1718,0.79
January 2018,1.2421,1.2002,1.2537,1.1915,3.53
February 2018,1.2194,1.2413,1.2556,1.2188,-1.83
March 2018,1.2323,1.2194,1.2477,1.2154,1.06
April 2018,1.2079,1.2323,1.2414,1.2054,-1.98
May 2018,1.1692,1.2078,1.2087,1.1508,-3.20
June 2018,1.1685,1.1693,1.1853,1.1509,-0.06
July 2018,1.1691,1.165,1.179,1.1572,0.05
August 2018,1.1601,1.1691,1.1735,1.1299,-0.77
September 2018,1.1609,1.1596,1.1816,1.1525,0.07
October 2018,1.1312,1.1609,1.163,1.1301,-2.56
November 2018,1.1317,1.1311,1.1502,1.1215,0.04
December 2018,1.147,1.1315,1.1486,1.1267,1.35
January 2019,1.1446,1.1466,1.1572,1.1288,-0.21
February 2019,1.1371,1.1446,1.1489,1.1232,-0.66
March 2019,1.1218,1.137,1.1449,1.1175,-1.35
April 2019,1.1217,1.1218,1.1326,1.1112,-0.01
May 2019,1.1169,1.1215,1.1267,1.1108,-0.43
June 2019,1.137,1.1169,1.1414,1.1156,1.80
July 2019,1.1076,1.1376,1.1376,1.1059,-2.59
August 2019,1.0991,1.1076,1.125,1.0963,-0.76
September 2019,1.09,1.0989,1.111,1.0884,-0.83
October 2019,1.1152,1.09,1.118,1.0878,2.31
November 2019,1.1017,1.1152,1.1176,1.098,-1.21
December 2019,1.1212,1.1014,1.124,1.1003,1.77
January 2020,1.1094,1.1213,1.1227,1.0991,-1.05
February 2020,1.1027,1.1092,1.1096,1.0776,-0.61
March 2020,1.1031,1.1003,1.1494,1.0637,0.04
April 2020,1.0957,1.1031,1.104,1.0726,-0.67
May 2020,1.1099,1.0956,1.1146,1.0766,1.30
June 2020,1.1231,1.1097,1.1423,1.1095,1.19
July 2020,1.1774,1.1233,1.191,1.1185,4.83
August 2020,1.1936,1.1783,1.1967,1.1696,1.38
September 2020,1.1718,1.1936,1.2012,1.1612,-1.83
October 2020,1.1647,1.1719,1.1882,1.1639,-0.61
November 2020,1.1928,1.1658,1.2004,1.1603,2.41
December 2020,1.2213,1.1928,1.2311,1.1926,2.39
January 2021,1.2136,1.2216,1.235,1.2054,-0.63
February 2021,1.2074,1.214,1.2243,1.1952,-0.01
March 2021,1.195,1.2091,1.2113,1.1836,-0.01
