Date,Close,Open,High,Low,Change
"August 13, 2006",1.2826,1.2715,1.2893,1.2696,0.82
"August 20, 2006",1.275,1.2826,1.294,1.2725,-0.59
"August 27, 2006",1.2836,1.2761,1.2881,1.2748,0.67
"September 03, 2006",1.2673,1.2845,1.2875,1.2649,-1.27
"September 10, 2006",1.2647,1.2668,1.2753,1.263,-0.21
"September 17, 2006",1.278,1.2637,1.2835,1.2631,1.05
"September 24, 2006",1.2672,1.279,1.2824,1.2638,-0.85
"October 01, 2006",1.26,1.2684,1.277,1.2574,-0.57
"October 08, 2006",1.2515,1.2594,1.262,1.2484,-0.67
"October 15, 2006",1.2614,1.25,1.2643,1.2487,0.79
"October 22, 2006",1.2741,1.262,1.2753,1.2525,1.01
"October 29, 2006",1.2718,1.2732,1.28,1.2679,-0.18
"November 05, 2006",1.2844,1.2718,1.2901,1.2688,0.99
"November 12, 2006",1.2828,1.2843,1.2879,1.2761,-0.12
"November 19, 2006",1.3093,1.2831,1.3112,1.2799,2.07
"November 26, 2006",1.3336,1.3172,1.335,1.3087,1.86
"December 03, 2006",1.3201,1.3333,1.3369,1.3192,-1.01
"December 10, 2006",1.3083,1.3178,1.3293,1.3059,-0.89
"December 17, 2006",1.3144,1.3083,1.3246,1.3053,0.47
"December 24, 2006",1.3199,1.3135,1.3208,1.3091,0.42
"December 31, 2006",1.3003,1.3197,1.3298,1.298,-1.48
"January 07, 2007",1.2917,1.3013,1.3054,1.2866,-0.66
"January 14, 2007",1.2966,1.2927,1.3002,1.2896,0.38
"January 21, 2007",1.2915,1.2961,1.3045,1.2875,-0.39
"January 28, 2007",1.2969,1.2919,1.3064,1.2898,0.42
"February 04, 2007",1.3005,1.2965,1.3047,1.2912,0.28
"February 11, 2007",1.3141,1.2992,1.3174,1.2941,1.05
"February 18, 2007",1.3167,1.3157,1.319,1.3079,0.2
"February 25, 2007",1.3194,1.3163,1.326,1.3142,0.21
"March 04, 2007",1.3114,1.3203,1.3213,1.307,-0.61
"March 11, 2007",1.3314,1.3117,1.3342,1.311,1.53
"March 18, 2007",1.3285,1.332,1.3414,1.3271,-0.22
"March 25, 2007",1.3358,1.3291,1.3403,1.3255,0.55
"April 01, 2007",1.3379,1.3376,1.3444,1.332,0.16
"April 08, 2007",1.3529,1.3373,1.3554,1.334,1.12
"April 15, 2007",1.3591,1.3556,1.3638,1.3521,0.46
"April 22, 2007",1.3653,1.3603,1.3683,1.354,0.46
"April 29, 2007",1.359,1.3634,1.368,1.3531,-0.46
"May 06, 2007",1.3529,1.3601,1.3628,1.3462,-0.45
"May 13, 2007",1.3509,1.3533,1.3611,1.3465,-0.15
"May 20, 2007",1.3441,1.3519,1.3529,1.3411,-0.5
"May 27, 2007",1.3449,1.3446,1.3521,1.3392,0.06
"June 03, 2007",1.3374,1.3444,1.3555,1.332,-0.56
"June 10, 2007",1.3388,1.3361,1.339,1.3262,0.1
"June 17, 2007",1.3469,1.3376,1.3471,1.3372,0.61
"June 24, 2007",1.3542,1.3466,1.3542,1.3415,0.54
"July 01, 2007",1.3628,1.3542,1.3661,1.3528,0.64
"July 08, 2007",1.3784,1.3632,1.3815,1.3594,1.14
"July 15, 2007",1.3827,1.3779,1.3844,1.3752,0.31
"July 22, 2007",1.3634,1.3837,1.3853,1.3627,-1.4
"July 29, 2007",1.3774,1.3614,1.382,1.3609,1.03
"August 05, 2007",1.3693,1.3828,1.384,1.3641,-0.59
"August 12, 2007",1.3476,1.3687,1.371,1.3359,-1.58
"August 19, 2007",1.3681,1.3481,1.3682,1.3451,1.52
"August 26, 2007",1.363,1.3672,1.3721,1.3564,-0.37
"September 02, 2007",1.3768,1.3629,1.38,1.3552,1.01
"September 09, 2007",1.3875,1.3785,1.3929,1.3767,0.78
"September 16, 2007",1.4091,1.3869,1.4122,1.3828,1.56
"September 23, 2007",1.4272,1.4091,1.4279,1.406,1.28
"September 30, 2007",1.4136,1.4277,1.4282,1.4031,-0.95
"October 07, 2007",1.4179,1.4147,1.4242,1.4014,0.3
"October 14, 2007",1.4305,1.4181,1.432,1.4143,0.89
"October 21, 2007",1.4397,1.4327,1.4398,1.4125,0.64
"October 28, 2007",1.4508,1.4411,1.4528,1.4374,0.77
"November 04, 2007",1.4676,1.4514,1.4754,1.4444,1.16
"November 11, 2007",1.4659,1.467,1.4726,1.452,-0.12
"November 18, 2007",1.4837,1.4672,1.4968,1.4619,1.21
"November 25, 2007",1.4632,1.4823,1.4909,1.4628,-1.38
"December 02, 2007",1.4657,1.4639,1.4772,1.4528,0.17
"December 09, 2007",1.4419,1.4655,1.4752,1.4411,-1.62
"December 16, 2007",1.4367,1.4388,1.4455,1.431,-0.36
"December 23, 2007",1.4717,1.4375,1.4729,1.436,2.44
"December 30, 2007",1.4745,1.472,1.4825,1.4569,0.19
"January 06, 2008",1.4777,1.4747,1.4821,1.464,0.22
"January 13, 2008",1.4611,1.4783,1.4924,1.4589,-1.12
"January 20, 2008",1.4672,1.4606,1.4781,1.4365,0.42
"January 27, 2008",1.48,1.4682,1.4954,1.4661,0.87
"February 03, 2008",1.451,1.4806,1.4851,1.444,-1.96
"February 10, 2008",1.468,1.4518,1.4711,1.4482,1.17
"February 17, 2008",1.4832,1.4679,1.4864,1.4611,1.04
"February 24, 2008",1.5181,1.4839,1.524,1.4779,2.35
"March 02, 2008",1.5351,1.5196,1.5461,1.5147,1.12
"March 09, 2008",1.5675,1.5364,1.569,1.5283,2.11
"March 16, 2008",1.5432,1.5725,1.5906,1.5397,-1.55
"March 23, 2008",1.5802,1.5422,1.586,1.5342,2.4
"March 30, 2008",1.5737,1.5811,1.5896,1.551,-0.41
"April 06, 2008",1.5807,1.5732,1.5914,1.5627,0.44
"April 13, 2008",1.5815,1.5698,1.5985,1.5671,0.05
"April 20, 2008",1.5625,1.5813,1.602,1.5555,-1.2
"April 27, 2008",1.5429,1.5617,1.5693,1.536,-1.25
"May 04, 2008",1.5483,1.5434,1.5595,1.5286,0.35
"May 11, 2008",1.5577,1.5463,1.5602,1.5366,0.61
"May 18, 2008",1.5766,1.5598,1.5816,1.5486,1.21
"May 25, 2008",1.5554,1.5772,1.582,1.5462,-1.34
"June 01, 2008",1.5777,1.5558,1.5777,1.5364,1.43
"June 08, 2008",1.538,1.5794,1.5846,1.5302,-2.52
"June 15, 2008",1.5605,1.541,1.5652,1.5345,1.46
"June 22, 2008",1.5795,1.5629,1.5795,1.5467,1.22
"June 29, 2008",1.5706,1.5777,1.5911,1.5653,-0.56
"July 06, 2008",1.5942,1.5697,1.5948,1.561,1.5
"July 13, 2008",1.5848,1.5964,1.604,1.5784,-0.59
"July 20, 2008",1.571,1.5837,1.5945,1.5628,-0.87
"July 27, 2008",1.5566,1.5701,1.577,1.5513,-0.92
"August 03, 2008",1.5006,1.557,1.5631,1.4996,-3.6
"August 10, 2008",1.4689,1.4933,1.5084,1.4657,-2.11
"August 17, 2008",1.4793,1.4683,1.4909,1.463,0.71
"August 24, 2008",1.4674,1.4788,1.4813,1.4569,-0.8
"August 31, 2008",1.4269,1.4702,1.4719,1.4197,-2.76
"September 07, 2008",1.4228,1.4385,1.443,1.388,-0.29
"September 14, 2008",1.4466,1.4315,1.4543,1.4079,1.67
"September 21, 2008",1.4615,1.4491,1.4867,1.4438,1.03
"September 28, 2008",1.3771,1.4522,1.4566,1.3704,-5.77
"October 05, 2008",1.3414,1.3665,1.3786,1.3259,-2.59
"October 12, 2008",1.3409,1.3559,1.3771,1.3346,-0.04
"October 19, 2008",1.2624,1.3403,1.3532,1.2498,-5.85
"October 26, 2008",1.2733,1.2551,1.3297,1.2331,0.86
"November 02, 2008",1.2739,1.2751,1.3119,1.2528,0.05
"November 09, 2008",1.2634,1.2821,1.293,1.239,-0.82
"November 16, 2008",1.2581,1.2535,1.2816,1.2425,-0.42
"November 23, 2008",1.2698,1.2592,1.3083,1.2567,0.93
"November 30, 2008",1.2736,1.2712,1.2851,1.255,0.3
"December 07, 2008",1.3373,1.2727,1.3417,1.2717,5
"December 14, 2008",1.3919,1.337,1.4722,1.3367,4.08
"December 21, 2008",1.4063,1.3934,1.4126,1.3901,1.03
"December 28, 2008",1.3879,1.4062,1.4364,1.384,-1.31
"January 04, 2009",1.344,1.3904,1.3966,1.3311,-3.16
"January 11, 2009",1.3304,1.3474,1.3476,1.3026,-1.01
"January 18, 2009",1.2992,1.3328,1.3388,1.2766,-2.35
"January 25, 2009",1.2782,1.2971,1.3331,1.2778,-1.62
"February 01, 2009",1.2933,1.277,1.3072,1.2707,1.18
"February 08, 2009",1.2862,1.2961,1.3095,1.2721,-0.55
"February 15, 2009",1.2843,1.279,1.2885,1.2514,-0.15
"February 22, 2009",1.2669,1.2796,1.2992,1.2603,-1.35
"March 01, 2009",1.2641,1.2626,1.2755,1.2456,-0.22
"March 08, 2009",1.2925,1.2669,1.2959,1.2554,2.25
"March 15, 2009",1.3583,1.2886,1.374,1.2837,5.09
"March 22, 2009",1.3301,1.3634,1.3738,1.3258,-2.08
"March 29, 2009",1.3483,1.3227,1.3519,1.3114,1.37
"April 05, 2009",1.3188,1.3512,1.3584,1.3091,-2.19
"April 12, 2009",1.3041,1.319,1.3394,1.3019,-1.11
"April 19, 2009",1.3255,1.3048,1.3304,1.2886,1.64
"April 26, 2009",1.3266,1.3243,1.3387,1.2965,0.08
"May 03, 2009",1.3647,1.3285,1.3651,1.3209,2.87
"May 10, 2009",1.3496,1.3649,1.3725,1.3464,-1.11
"May 17, 2009",1.3994,1.3487,1.4053,1.3423,3.69
"May 24, 2009",1.4154,1.4035,1.4171,1.3793,1.14
"May 31, 2009",1.3975,1.4125,1.434,1.3933,-1.26
"June 07, 2009",1.4024,1.3945,1.418,1.3806,0.35
"June 14, 2009",1.3943,1.3989,1.4014,1.375,-0.58
"June 21, 2009",1.4053,1.3952,1.4141,1.3826,0.79
"June 28, 2009",1.3964,1.4065,1.4204,1.393,-0.63
"July 05, 2009",1.3933,1.3958,1.4075,1.3833,-0.22
"July 12, 2009",1.4099,1.3948,1.4168,1.3898,1.19
